Benchmark,Data Cache,D$ Bytes Read,D$ Bytes Written,D$ Read Accesses,D$ Write Accesses,D$ Read Misses,D$ Write Misses,D$ Writebacks,D$ Miss Rate
bfs_pointer,128:2:16,297361,132180,76933,33192,4340,5690,6898,9.108%
conv2D,128:2:16,3325479,1220578,833940,305293,6879,14742,15276,1.898%
fir,128:2:16,27163089,15053144,6793348,3763456,63467,119942,122635,1.737%
kmean,128:2:16,39450765,8338606,9865279,2084826,369983,34019,37830,3.381%
mm,128:2:16,8399467,4416818,2102419,1104347,315336,28473,29305,10.721%
quicksort,128:2:16,12497859,12511653,3128446,3131433,159634,115314,203777,4.392%
sobel,128:2:16,5781465,2145012,1818292,538346,21722,41194,42437,2.670%
bfs_matrix,256:2:16,7639783,4340310,1912534,1085235,267576,261034,269228,17.633%
bfs_pointer,256:2:16,297361,132180,76933,33192,3372,5486,6354,8.044%
conv2D,256:2:16,3325479,1220578,833940,305293,5056,12573,12669,1.547%
fir,256:2:16,27163089,15053144,6793348,3763456,41846,104679,106847,1.388%
kmean,256:2:16,39450765,8338606,9865279,2084826,361947,30174,32070,3.281%
mm,256:2:16,8399467,4416818,2102419,1104347,279341,20636,21163,9.355%
quicksort,256:2:16,12497859,12511653,3128446,3131433,119864,90078,157772,3.354%
sobel,256:2:16,5781465,2145012,1818292,538346,15573,37121,37701,2.236%
bfs_matrix,512:2:16,7639783,4340310,1912534,1085235,260205,257587,261442,17.273%
bfs_pointer,512:2:16,297361,132180,76933,33192,2421,5341,5831,7.048%
conv2D,512:2:16,3325479,1220578,833940,305293,3424,11062,10679,1.272%
fir,512:2:16,27163089,15053144,6793348,3763456,38087,102894,103481,1.335%
kmean,512:2:16,39450765,8338606,9865279,2084826,358765,29600,30033,3.250%
mm,512:2:16,8399467,4416818,2102419,1104347,275940,16717,16564,9.126%
quicksort,512:2:16,12497859,12511653,3128446,3131433,86740,72416,122863,2.542%
sobel,512:2:16,5781465,2145012,1818292,538346,13083,36380,36027,2.099%
bfs_matrix,1024:2:16,7639783,4340310,1912534,1085235,256288,255713,257998,17.079%
bfs_pointer,1024:2:16,297361,132180,76933,33192,1620,5118,4468,6.119%
conv2D,1024:2:16,3325479,1220578,833940,305293,2913,10678,9451,1.193%
fir,1024:2:16,27163089,15053144,6793348,3763456,34444,101898,101207,1.292%
kmean,1024:2:16,39450765,8338606,9865279,2084826,350830,29227,28670,3.180%
mm,1024:2:16,8399467,4416818,2102419,1104347,247546,16509,15714,8.234%
quicksort,1024:2:16,12497859,12511653,3128446,3131433,59013,59244,94594,1.889%
sobel,1024:2:16,5781465,2145012,1818292,538346,12338,35941,34626,2.049%
bfs_matrix,2048:2:16,7639783,4340310,1912534,1085235,254859,254814,256347,17.002%
bfs_pointer,2048:2:16,297361,132180,76933,33192,901,4997,2188,5.356%
conv2D,2048:2:16,3325479,1220578,833940,305293,2201,10401,7573,1.106%
fir,2048:2:16,27163089,15053144,6793348,3763456,33505,101318,99336,1.277%
kmean,2048:2:16,39450765,8338606,9865279,2084826,300538,28811,27439,2.756%
mm,2048:2:16,8399467,4416818,2102419,1104347,108391,16344,14475,3.890%
quicksort,2048:2:16,12497859,12511653,3128446,3131433,32514,48356,68187,1.292%
sobel,2048:2:16,5781465,2145012,1818292,538346,11229,34382,31551,1.935%
bfs_matrix,4096:2:16,7639783,4340310,1912534,1085235,253942,254410,255571,16.958%
bfs_pointer,4096:2:16,297361,132180,76933,33192,98,4935,451,4.570%
conv2D,4096:2:16,3325479,1220578,833940,305293,877,10267,4036,0.978%
fir,4096:2:16,27163089,15053144,6793348,3763456,32691,101042,97482,1.267%
kmean,4096:2:16,39450765,8338606,9865279,2084826,18640,27456,25605,0.386%
mm,4096:2:16,8399467,4416818,2102419,1104347,7888,15446,11307,0.728%
quicksort,4096:2:16,12497859,12511653,3128446,3131433,13055,42021,45684,0.880%
sobel,4096:2:16,5781465,2145012,1818292,538346,4980,28946,22726,1.440%
bfs_matrix,8192:2:16,7639783,4340310,1912534,1085235,252625,254234,255137,16.908%
bfs_pointer,8192:2:16,297361,132180,76933,33192,79,4926,1,4.545%
conv2D,8192:2:16,3325479,1220578,833940,305293,94,10059,948,0.891%
fir,8192:2:16,27163089,15053144,6793348,3763456,25852,99956,91937,1.192%
kmean,8192:2:16,39450765,8338606,9865279,2084826,2398,24950,11373,0.229%
mm,8192:2:16,8399467,4416818,2102419,1104347,1594,15020,3941,0.518%
quicksort,8192:2:16,12497859,12511653,3128446,3131433,4166,39289,27240,0.694%
sobel,8192:2:16,5781465,2145012,1818292,538346,801,23677,9715,1.039%
bfs_matrix,16384:2:16,7639783,4340310,1912534,1085235,248568,254105,254754,16.768%
bfs_pointer,16384:2:16,297361,132180,76933,33192,79,4926,1,4.545%
conv2D,16384:2:16,3325479,1220578,833940,305293,78,10046,1,0.889%
fir,16384:2:16,27163089,15053144,6793348,3763456,8439,92861,68168,0.960%
kmean,16384:2:16,39450765,8338606,9865279,2084826,352,20848,2359,0.177%
mm,16384:2:16,8399467,4416818,2102419,1104347,78,14910,1,0.467%
quicksort,16384:2:16,12497859,12511653,3128446,3131433,246,38598,12705,0.621%
sobel,16384:2:16,5781465,2145012,1818292,538346,118,21615,2604,0.922%
